Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,272.630005,274.399994,267.980011,268.179993,268.179993,208100
2018-03-01,268.0,269.929993,258.100006,265.709991,265.709991,570900
2018-03-02,263.130005,276.209991,260.0,275.130005,275.130005,458900
2018-03-05,274.519989,281.380005,273.179993,279.269989,279.269989,436700
2018-03-06,280.670013,285.480011,276.769989,281.540009,281.540009,541500
2018-03-07,277.380005,288.839996,277.119995,285.380005,285.380005,467800
2018-03-08,286.98999,290.519989,286.100006,288.600006,288.600006,371100
2018-03-09,292.619995,297.450012,291.079987,294.519989,294.519989,491300
2018-03-12,295.649994,304.27999900000003,290.52999900000003,294.73999,294.73999,320100
2018-03-13,295.730011,299.200012,290.119995,293.170013,293.170013,329200
2018-03-14,294.0,296.019989,290.829987,295.850006,295.850006,333400
2018-03-15,297.01001,297.980011,293.950012,294.570007,294.570007,359100
2018-03-16,295.130005,297.609985,289.269989,293.049988,293.049988,570700
2018-03-19,291.269989,294.570007,285.02999900000003,287.980011,287.980011,467800
2018-03-20,288.869995,295.829987,288.549988,294.01001,294.01001,538400
2018-03-21,294.679993,295.5,290.359985,292.309998,292.309998,423100
2018-03-22,289.640015,291.570007,285.950012,286.390015,286.390015,383000
2018-03-23,285.77999900000003,290.910004,282.119995,283.98999,283.98999,491000
2018-03-26,288.02999900000003,295.75,285.049988,295.399994,295.399994,318300
2018-03-27,296.0,299.880005,283.640015,286.429993,286.429993,474200
2018-03-28,286.420013,286.690002,276.200012,282.98999,282.98999,456100
2018-03-29,284.049988,294.850006,283.149994,290.98999,290.98999,414800
2018-04-02,291.429993,291.440002,276.589996,279.109985,279.109985,609000
2018-04-03,280.799988,284.440002,274.230011,278.070007,278.070007,506400
2018-04-04,277.929993,289.230011,275.390015,288.52999900000003,288.52999900000003,389000
2018-04-05,290.380005,297.0,290.320007,292.130005,292.130005,343000
2018-04-06,290.160004,294.079987,282.369995,286.22000099999997,286.22000099999997,334800
2018-04-09,289.089996,294.25,287.709991,288.119995,288.119995,315500
2018-04-10,292.600006,301.170013,290.26001,300.27999900000003,300.27999900000003,590300
2018-04-11,300.399994,302.940002,295.27999900000003,296.399994,296.399994,317200
2018-04-12,297.52999900000003,299.579987,295.589996,296.940002,296.940002,320700
2018-04-13,298.880005,301.290009,293.850006,296.73999,296.73999,268100
2018-04-16,298.0,299.98999,294.679993,296.320007,296.320007,312000
2018-04-17,298.059998,305.769989,294.27999900000003,304.429993,304.429993,552100
2018-04-18,305.839996,309.27999900000003,302.179993,307.630005,307.630005,446800
2018-04-19,305.73999,307.049988,303.51001,306.450012,306.450012,339900
2018-04-20,306.01001,307.119995,302.709991,305.920013,305.920013,272800
2018-04-23,305.899994,306.549988,300.609985,302.649994,302.649994,420400
2018-04-24,303.230011,305.48999,285.019989,290.929993,290.929993,607700
2018-04-25,287.0,294.26001,277.01001,293.200012,293.200012,861200
2018-04-26,294.519989,305.350006,290.160004,303.410004,303.410004,454000
2018-04-27,304.690002,306.299988,297.390015,301.73999,301.73999,458100
2018-04-30,303.27999900000003,308.73999,300.850006,300.950012,300.950012,545400
2018-05-01,301.690002,311.600006,301.690002,310.5,310.5,445600
2018-05-02,309.769989,310.390015,298.170013,302.140015,302.140015,936800
2018-05-03,310.0,341.890015,307.98999,335.570007,335.570007,1673800
2018-05-04,335.519989,352.149994,328.0,349.27999900000003,349.27999900000003,746300
2018-05-07,348.299988,354.399994,344.309998,347.570007,347.570007,703400
2018-05-08,341.839996,347.600006,339.75,347.380005,347.380005,478900
2018-05-09,347.649994,361.829987,347.570007,358.160004,358.160004,495800
2018-05-10,358.72000099999997,371.450012,358.72000099999997,368.880005,368.880005,497200
2018-05-11,368.709991,374.75,367.790009,372.679993,372.679993,588700
2018-05-14,370.869995,383.329987,370.01001,375.670013,375.670013,420700
2018-05-15,373.01001,381.230011,368.140015,380.350006,380.350006,547700
2018-05-16,380.209991,387.209991,376.980011,381.97000099999997,381.97000099999997,490200
2018-05-17,380.350006,384.399994,377.75,379.940002,379.940002,535700
2018-05-18,381.149994,388.75,380.02999900000003,384.359985,384.359985,876300
2018-05-21,387.27999900000003,389.790009,378.709991,379.170013,379.170013,641600
2018-05-22,382.0,387.23999,378.51001,386.350006,386.350006,466200
2018-05-23,384.600006,396.47000099999997,384.200012,395.519989,395.519989,484600
2018-05-24,396.170013,403.450012,389.100006,394.459991,394.459991,485700
2018-05-25,396.880005,398.049988,392.5,394.27999900000003,394.27999900000003,388400
2018-05-29,388.649994,394.390015,375.0,387.399994,387.399994,1245900
2018-05-30,389.040009,397.390015,385.869995,388.570007,388.570007,10944500
2018-05-31,389.209991,391.97000099999997,379.51001,381.140015,381.140015,3663700
2018-06-01,384.899994,399.47000099999997,380.170013,392.25,392.25,917400
2018-06-04,395.609985,406.339996,392.369995,405.839996,405.839996,988200
2018-06-05,407.519989,415.0,402.75,405.670013,405.670013,772400
